"Delivery Address ID","Delivery Address","Consignment Reference","Delivery Run Date","Date Delivered","Delivery Run",Quantity,Pallets,Spaces,"Cubic (m³)","Weight (kg)","Ship Qty"
8157,"Flannery's Maroochydore - Doca, , Shop 1 Central One 45 Plaza Pde, MAROOCHYDORE, , ",PO622660,2025-05-12,"2025-05-12 10:17:44","SUNSHINE COAST",4,0,0,0,48,4
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,2
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,3
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,1
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,5
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,2
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,40
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,27
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,12
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,12
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,16
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,7
1847,"Petbarn Rockhampton, Store Manager, 363 Yaama Road,, ROCKHAMPTON, ROCKHAMPTON, ",TOR435005,2025-05-08,"2025-05-12 08:23:00",ROCKHAMPTON,64,2,0,1.024,667,10
